commodity,state,season,avg_price
Chickpeas,Bihar,Autumn,43.699803921568616
Chickpeas,Bihar,Monsoon,40.633695652173905
Chickpeas,Bihar,Summer,41.48404255319149
Chickpeas,Bihar,Winter,41.48348837209302
Chickpeas,Delhi,Autumn,54.031136363636364
Chickpeas,Delhi,Monsoon,58.1788
Chickpeas,Delhi,Summer,42.90411764705883
Chickpeas,Delhi,Winter,46.83926829268295
Chickpeas,Maharashtra,Autumn,52.02208333333331
Chickpeas,Maharashtra,Monsoon,48.89627450980393
Chickpeas,Maharashtra,Summer,46.523333333333326
Chickpeas,Maharashtra,Winter,55.50717948717948
Chickpeas,Tamil Nadu,Autumn,50.016000000000005
Chickpeas,Tamil Nadu,Monsoon,44.98367346938776
Chickpeas,Tamil Nadu,Summer,47.099999999999994
Chickpeas,Tamil Nadu,Winter,44.425106382978726
Ghee (vanaspati),Andaman And Nicobar,Autumn,162.618125
Ghee (vanaspati),Andaman And Nicobar,Monsoon,154.72625
Ghee (vanaspati),Andaman And Nicobar,Summer,157.32176470588234
Ghee (vanaspati),Andaman And Nicobar,Winter,167.016
Ghee (vanaspati),Andhra Pradesh,Autumn,103.20545454545454
Ghee (vanaspati),Andhra Pradesh,Monsoon,103.65545454545453
Ghee (vanaspati),Andhra Pradesh,Summer,106.55314285714286
Ghee (vanaspati),Andhra Pradesh,Winter,109.11545454545454
Ghee (vanaspati),Assam,Autumn,107.40863636363635
Ghee (vanaspati),Assam,Monsoon,105.86571428571429
Ghee (vanaspati),Assam,Summer,98.86409090909092
Ghee (vanaspati),Assam,Winter,98.39421052631579
Ghee (vanaspati),Bihar,Autumn,120.54626262626265
Ghee (vanaspati),Bihar,Monsoon,123.38545454545459
Ghee (vanaspati),Bihar,Summer,126.0041221374046
Ghee (vanaspati),Bihar,Winter,121.78205882352941
Ghee (vanaspati),Chandigarh,Autumn,98.1464705882353
Ghee (vanaspati),Chandigarh,Monsoon,109.78333333333333
Ghee (vanaspati),Chandigarh,Summer,102.5526086956522
Ghee (vanaspati),Chandigarh,Winter,101.34235294117647
Ghee (vanaspati),Chhattisgarh,Autumn,116.69718750000001
Ghee (vanaspati),Chhattisgarh,Monsoon,129.2775
Ghee (vanaspati),Chhattisgarh,Summer,133.7174074074074
Ghee (vanaspati),Chhattisgarh,Winter,122.94760000000001
Ghee (vanaspati),Delhi,Autumn,111.61571428571429
Ghee (vanaspati),Delhi,Monsoon,115.699
Ghee (vanaspati),Delhi,Summer,117.37857142857142
Ghee (vanaspati),Delhi,Winter,106.21416666666669
Ghee (vanaspati),Goa,Autumn,125.914375
Ghee (vanaspati),Goa,Monsoon,142.6423076923077
Ghee (vanaspati),Goa,Summer,132.63277777777776
Ghee (vanaspati),Goa,Winter,131.3790909090909
Ghee (vanaspati),Gujarat,Autumn,110.88227272727272
Ghee (vanaspati),Gujarat,Monsoon,106.2840277777778
Ghee (vanaspati),Gujarat,Summer,110.80283582089552
Ghee (vanaspati),Gujarat,Winter,110.01666666666668
Ghee (vanaspati),Haryana,Autumn,106.0271186440678
Ghee (vanaspati),Haryana,Monsoon,101.3058241758242
Ghee (vanaspati),Haryana,Summer,104.74516129032257
Ghee (vanaspati),Haryana,Winter,103.01914634146338
Ghee (vanaspati),Himachal Pradesh,Autumn,122.51979591836736
Ghee (vanaspati),Himachal Pradesh,Monsoon,122.96983050847462
Ghee (vanaspati),Himachal Pradesh,Summer,129.6587037037037
Ghee (vanaspati),Himachal Pradesh,Winter,124.17795918367345
Ghee (vanaspati),Jharkhand,Autumn,124.21365384615386
Ghee (vanaspati),Jharkhand,Monsoon,119.12017543859646
Ghee (vanaspati),Jharkhand,Summer,125.5471875
Ghee (vanaspati),Jharkhand,Winter,122.02759259259258
Ghee (vanaspati),Karnataka,Autumn,121.9134782608695
Ghee (vanaspati),Karnataka,Monsoon,116.84592233009708
Ghee (vanaspati),Karnataka,Summer,119.94381818181816
Ghee (vanaspati),Karnataka,Winter,127.56784810126585
Ghee (vanaspati),Kerala,Autumn,127.23234374999998
Ghee (vanaspati),Kerala,Monsoon,126.33450704225352
Ghee (vanaspati),Kerala,Summer,129.61597222222224
Ghee (vanaspati),Kerala,Winter,126.9909722222222
Ghee (vanaspati),Madhya Pradesh,Autumn,103.86511627906978
Ghee (vanaspati),Madhya Pradesh,Monsoon,105.89333333333335
Ghee (vanaspati),Madhya Pradesh,Summer,102.14864406779662
Ghee (vanaspati),Madhya Pradesh,Winter,100.5136697247707
Ghee (vanaspati),Maharashtra,Autumn,111.90458333333336
Ghee (vanaspati),Maharashtra,Monsoon,110.2777777777778
Ghee (vanaspati),Maharashtra,Summer,119.52228070175441
Ghee (vanaspati),Maharashtra,Winter,107.40268656716418
Ghee (vanaspati),Manipur,Autumn,160.65750000000003
Ghee (vanaspati),Manipur,Monsoon,177.0
Ghee (vanaspati),Manipur,Summer,190.415
Ghee (vanaspati),Manipur,Winter,157.382
Ghee (vanaspati),Meghalaya,Autumn,113.68411764705883
