year,state,market,commodity,avg_price,market_rank
2024,Assam,North-East Zone,Ghee (vanaspati),143.88,1
2024,Rajasthan,North Zone,Ghee (vanaspati),127.82,2
2024,Karnataka,South Zone,Ghee (vanaspati),125.15,3
2024,Maharashtra,West Zone,Ghee (vanaspati),122.68,4
2024,Orissa,East Zone,Ghee (vanaspati),116.72,5
2024,Karnataka,South Zone,Lentils,165.57,1
2024,Maharashtra,West Zone,Lentils,148.04,2
2024,Orissa,East Zone,Lentils,147.64,3
2024,Rajasthan,North Zone,Lentils,147.53,4
2024,Assam,North-East Zone,Lentils,141.18,5
2024,Karnataka,South Zone,Lentils (masur),101.14,1
2024,Assam,North-East Zone,Lentils (masur),95.89,2
2024,Maharashtra,West Zone,Lentils (masur),91.54,3
2024,Orissa,East Zone,Lentils (masur),86.61,4
2024,Karnataka,South Zone,Lentils (moong),124.26,1
2024,Assam,North-East Zone,Lentils (moong),118.29,2
2024,Orissa,East Zone,Lentils (moong),115.17,3
2024,Maharashtra,West Zone,Lentils (moong),112.64,4
2024,Rajasthan,North Zone,Lentils (moong),112.64,4
2024,Karnataka,South Zone,Lentils (urad),140.15,1
2024,Orissa,East Zone,Lentils (urad),118.47,2
2024,Maharashtra,West Zone,Lentils (urad),116.7,3
2024,Assam,North-East Zone,Milk (pasteurized),71.83,1
2024,Rajasthan,North Zone,Milk (pasteurized),60.3,2
2024,Maharashtra,West Zone,Milk (pasteurized),57.1,3
2024,Orissa,East Zone,Milk (pasteurized),55.15,4
2024,Karnataka,South Zone,Milk (pasteurized),51.8,5
2024,Rajasthan,North Zone,Oil (groundnut),192.87,1
2024,Karnataka,South Zone,Oil (groundnut),192.75,2
2024,Assam,North-East Zone,Oil (groundnut),192.01,3
2024,Maharashtra,West Zone,Oil (groundnut),189.81,4
2024,Orissa,East Zone,Oil (groundnut),185.04,5
2024,Assam,North-East Zone,Oil (mustard),149.64,1
2024,Orissa,East Zone,Oil (mustard),133.0,2
2024,Assam,North-East Zone,Oil (palm),118.25,1
2024,Rajasthan,North Zone,Oil (palm),109.58,2
2024,Maharashtra,West Zone,Oil (palm),105.68,3
2024,Orissa,East Zone,Oil (palm),99.95,4
2024,Karnataka,South Zone,Oil (palm),93.78,5
2024,Karnataka,South Zone,Oil (soybean),137.5,1
2024,Assam,North-East Zone,Oil (soybean),136.11,2
2024,Rajasthan,North Zone,Oil (soybean),128.47,3
2024,Maharashtra,West Zone,Oil (soybean),118.11,4
2024,Assam,North-East Zone,Oil (sunflower),163.38,1
2024,Rajasthan,North Zone,Oil (sunflower),152.13,2
2024,Orissa,East Zone,Oil (sunflower),139.11,3
2024,Maharashtra,West Zone,Oil (sunflower),135.83,4
2024,Karnataka,South Zone,Oil (sunflower),117.42,5
2024,Assam,North-East Zone,Onions,51.54,1
2024,Karnataka,South Zone,Onions,37.22,2
2024,Orissa,East Zone,Onions,36.91,3
2024,Rajasthan,North Zone,Onions,35.26,4
2024,Maharashtra,West Zone,Onions,34.21,5
2024,Karnataka,South Zone,Potatoes,34.16,1
2024,Assam,North-East Zone,Potatoes,25.83,2
2024,Maharashtra,West Zone,Potatoes,21.75,3
2024,Orissa,East Zone,Potatoes,18.25,4
2024,Rajasthan,North Zone,Potatoes,16.27,5
2024,Karnataka,South Zone,Rice,57.15,1
2024,Assam,North-East Zone,Rice,43.21,2
2024,Maharashtra,West Zone,Rice,42.08,3
2024,Orissa,East Zone,Rice,39.05,4
2024,Rajasthan,North Zone,Rice,38.32,5
2024,Rajasthan,North Zone,Salt (iodised),26.89,1
2024,Orissa,East Zone,Salt (iodised),23.63,2
2024,Karnataka,South Zone,Salt (iodised),20.78,3
2024,Maharashtra,West Zone,Salt (iodised),20.71,4
2024,Assam,North-East Zone,Salt (iodised),18.05,5
2024,Assam,North-East Zone,Sugar,48.9,1
2024,Rajasthan,North Zone,Sugar,44.47,2
2024,Karnataka,South Zone,Sugar,43.13,3
2024,Maharashtra,West Zone,Sugar,42.78,4
2024,Assam,North-East Zone,Sugar (jaggery/gur),71.58,1
2024,Karnataka,South Zone,Sugar (jaggery/gur),55.78,2
2024,Maharashtra,West Zone,Sugar (jaggery/gur),48.76,3
2024,Orissa,East Zone,Sugar (jaggery/gur),48.7,4
2024,Rajasthan,North Zone,Sugar (jaggery/gur),48.1,5
2024,Assam,North-East Zone,Tea (black),323.2,1
2024,Karnataka,South Zone,Tea (black),293.03,2
2024,Orissa,East Zone,Tea (black),278.14,3
2024,Maharashtra,West Zone,Tea (black),276.44,4
2024,Rajasthan,North Zone,Tea (black),252.46,5
2024,Orissa,East Zone,Tomatoes,31.03,1
2024,Karnataka,South Zone,Tomatoes,30.75,2
2024,Maharashtra,West Zone,Tomatoes,27.41,3
2024,Karnataka,South Zone,Wheat,44.19,1
2024,Orissa,East Zone,Wheat,30.73,2
2024,Rajasthan,North Zone,Wheat,27.04,3
2024,Karnataka,South Zone,Wheat flour,49.74,1
2024,Assam,North-East Zone,Wheat flour,40.9,2
2024,Maharashtra,West Zone,Wheat flour,36.8,3
2024,Orissa,East Zone,Wheat flour,36.44,4
2024,Rajasthan,North Zone,Wheat flour,33.28,5
