commodity,season,avg_price,stddev_price,coeff_variation
Chickpeas,Autumn,49.754468085106375,28.042488075829223,56.361748311451706
Chickpeas,Monsoon,46.909532163742696,24.290053021854867,51.78063370375953
Chickpeas,Summer,44.472987804878066,21.59098310496481,48.54853287504237
Chickpeas,Winter,46.80564705882355,21.80289842831527,46.58176907780854
Ghee (vanaspati),Autumn,113.95461485079807,33.5624008777614,29.45242798784849
Ghee (vanaspati),Monsoon,112.47162805662812,36.790043472395915,32.710510293202624
Ghee (vanaspati),Summer,116.17740543735212,37.04024238547987,31.882483729121986
Ghee (vanaspati),Winter,113.03012820512828,33.152888511413764,29.331019116644324
Lentils,Autumn,94.2528065241845,25.48180066602516,27.035588228862693
Lentils,Monsoon,91.7355100864553,26.11772144431787,28.4706777339587
Lentils,Summer,92.26643200000005,26.130279431393582,28.320461586065846
Lentils,Winter,91.65946149392009,24.6674296250659,26.912038564291723
Lentils (masur),Autumn,81.19141884816754,17.29638372843036,21.303216489879993
Lentils (masur),Monsoon,80.35036958817312,17.042119003749384,21.209758077152436
Lentils (masur),Summer,80.6702481751827,17.318351176742798,21.468077226109976
Lentils (masur),Winter,80.50281035393547,17.05440769081658,21.184860026421244
Lentils (moong),Autumn,96.673839848676,15.765002920921772,16.307413614271248
Lentils (moong),Monsoon,95.2164227642277,16.363077653067208,17.185142203446365
Lentils (moong),Summer,99.73570005858242,15.755389300069254,15.797141134834272
Lentils (moong),Winter,97.42632936507931,14.969788232995317,15.365238873877725
Lentils (urad),Autumn,104.39674490426195,21.442549252237168,20.539480681989907
Lentils (urad),Monsoon,101.62102439024412,22.43585797278577,22.07796871504443
Lentils (urad),Summer,104.41640468227428,21.496758096178052,20.58752948024779
Lentils (urad),Winter,103.64351145038167,19.82254997899403,19.12570280724605
Milk,Autumn,35.532840909090915,8.138834438673918,22.90510477193968
Milk,Monsoon,35.38723958333334,8.531219577778227,24.10818045778359
Milk,Summer,35.00424581005587,8.684899298658884,24.810988203505083
Milk,Winter,33.722040816326526,8.717280452533918,25.85039410874993
