state,city,market,avg_price_volatility,nearby_market_count
Karnataka,Bangalore Urban,Bengaluru,31.77778056046837,4
Assam,Kamrup,Guwahati,29.682731774791034,3
Meghalaya,East Khasi Hills,Shillong,25.650885913298822,3
Bihar,Banka,Bhagalpur,23.12405612351834,4
Jharkhand,Ranchi,Ranchi,20.426011016500635,3
Kerala,Thrissur,Thrissur,20.08355450667978,4
Himachal Pradesh,Solan,Solan,19.22529582612383,5
Uttar Pradesh,Saharanpur,Saharanpur,19.210837360623998,3
Uttar Pradesh,Agra,Agra,19.119423700261184,3
Jharkhand,Gumla,Gumla,16.196884757246558,4
