city,commodity,city_avg_price,national_avg_price
Mumbai City,Chickpeas,50.608500000000014,47.07922077922078
Delhi,Chickpeas,50.07631944444445,47.07922077922078
Chennai,Chickpeas,46.56043956043957,47.07922077922078
Patna,Chickpeas,41.8790374331551,47.07922077922078
Mysore,Ghee (vanaspati),207.25678571428574,113.96860593289009
Kohima,Ghee (vanaspati),178.84714285714287,113.96860593289009
Wayanad,Ghee (vanaspati),170.6677777777778,113.96860593289009
West Imphal,Ghee (vanaspati),170.1375,113.96860593289009
Aizawl,Ghee (vanaspati),168.62,113.96860593289009
Valsad,Ghee (vanaspati),161.21666666666667,113.96860593289009
Andaman Islands,Ghee (vanaspati),159.01962962962966,113.96860593289009
Saharanpur,Ghee (vanaspati),158.8345,113.96860593289009
Thrissur,Ghee (vanaspati),156.50222222222223,113.96860593289009
Palakkad,Ghee (vanaspati),153.61862068965513,113.96860593289009
Jhabua,Ghee (vanaspati),153.26769230769233,113.96860593289009
Vadodara,Ghee (vanaspati),152.6717391304348,113.96860593289009
Munger,Ghee (vanaspati),152.35071428571428,113.96860593289009
Purba Singhbhum,Ghee (vanaspati),151.935652173913,113.96860593289009
Saran,Ghee (vanaspati),151.21384615384613,113.96860593289009
Araria,Ghee (vanaspati),151.04272727272726,113.96860593289009
The Dangs,Ghee (vanaspati),150.6221052631579,113.96860593289009
Jaintia Hills,Ghee (vanaspati),149.8245,113.96860593289009
Katihar,Ghee (vanaspati),149.78833333333336,113.96860593289009
Meerut,Ghee (vanaspati),149.20033333333336,113.96860593289009
Raigarh,Ghee (vanaspati),149.08789473684212,113.96860593289009
Bijapur,Ghee (vanaspati),149.0694117647059,113.96860593289009
Baleshwar,Ghee (vanaspati),148.85111111111115,113.96860593289009
Lohardaga,Ghee (vanaspati),148.47466666666665,113.96860593289009
Cuddalore,Ghee (vanaspati),148.4345833333333,113.96860593289009
Mirzapur,Ghee (vanaspati),148.16611111111112,113.96860593289009
Solan,Ghee (vanaspati),146.00150000000002,113.96860593289009
Chamba,Ghee (vanaspati),145.72812499999998,113.96860593289009
Darrang,Ghee (vanaspati),145.24166666666667,113.96860593289009
Aligarh,Ghee (vanaspati),144.42736842105262,113.96860593289009
Kangra,Ghee (vanaspati),144.40166666666667,113.96860593289009
Vellore,Ghee (vanaspati),144.35307692307694,113.96860593289009
Hoshangabad,Ghee (vanaspati),144.0776923076923,113.96860593289009
Bareilly,Ghee (vanaspati),143.87478260869565,113.96860593289009
Naini Tal,Ghee (vanaspati),143.73809523809524,113.96860593289009
Una,Ghee (vanaspati),143.34411764705882,113.96860593289009
Madhubani,Ghee (vanaspati),143.32500000000002,113.96860593289009
Haridwar,Ghee (vanaspati),142.33318181818183,113.96860593289009
Nawada,Ghee (vanaspati),141.60363636363633,113.96860593289009
Simdega,Ghee (vanaspati),141.4096666666667,113.96860593289009
East,Ghee (vanaspati),141.1460714285714,113.96860593289009
Ujjain,Ghee (vanaspati),141.09833333333333,113.96860593289009
Darbhanga,Ghee (vanaspati),140.6624,113.96860593289009
Udham Singh Nagar,Ghee (vanaspati),140.28904761904764,113.96860593289009
Kaushambi,Ghee (vanaspati),139.9786956521739,113.96860593289009
Gaya,Ghee (vanaspati),139.88666666666668,113.96860593289009
Nashik,Ghee (vanaspati),139.68148148148148,113.96860593289009
Ajmer,Ghee (vanaspati),139.55157894736843,113.96860593289009
Kurnool,Ghee (vanaspati),139.42708333333334,113.96860593289009
Ramanathapuram,Ghee (vanaspati),139.36439999999996,113.96860593289009
Gumla,Ghee (vanaspati),138.80190476190478,113.96860593289009
Muzaffarpur,Ghee (vanaspati),138.24826086956523,113.96860593289009
Warangal,Ghee (vanaspati),138.07571428571427,113.96860593289009
Rohtas,Ghee (vanaspati),137.475,113.96860593289009
Pune,Ghee (vanaspati),137.3453846153846,113.96860593289009
Belgaum,Ghee (vanaspati),136.49363636363634,113.96860593289009
Jhansi,Ghee (vanaspati),135.54466666666667,113.96860593289009
Nalgonda,Ghee (vanaspati),135.110625,113.96860593289009
Surguja,Ghee (vanaspati),134.9786956521739,113.96860593289009
Kachchh,Ghee (vanaspati),134.94555555555556,113.96860593289009
Bilaspur,Ghee (vanaspati),134.66514285714285,113.96860593289009
Bharatpur,Ghee (vanaspati),133.829,113.96860593289009
Purba Champaran,Ghee (vanaspati),133.76227272727272,113.96860593289009
Shahdol,Ghee (vanaspati),133.15500000000003,113.96860593289009
Moradabad,Ghee (vanaspati),133.04666666666668,113.96860593289009
North Goa,Ghee (vanaspati),132.7851724137931,113.96860593289009
Faizabad,Ghee (vanaspati),132.71473684210525,113.96860593289009
Tirunelveli Kattabo,Ghee (vanaspati),132.19400000000002,113.96860593289009
Saharsa,Ghee (vanaspati),132.18733333333333,113.96860593289009
Samastipur,Ghee (vanaspati),130.99650000000003,113.96860593289009
Coimbatore,Ghee (vanaspati),130.49214285714285,113.96860593289009
Davanagere,Ghee (vanaspati),129.826875,113.96860593289009
Jaipur,Ghee (vanaspati),129.69499999999996,113.96860593289009
Dhanbad,Ghee (vanaspati),129.38565217391303,113.96860593289009
Morena,Ghee (vanaspati),128.27,113.96860593289009
