market,category,market_avg_price,overall_avg_price
Patna,cereals and tubers,78.85346652267819,27.28121837270347
Mayabunder,cereals and tubers,49.1423157894737,27.28121837270347
South Zone,cereals and tubers,45.298260869565226,27.28121837270347
Thrissur,cereals and tubers,44.699907407407416,27.28121837270347
Cuddalore,cereals and tubers,43.995940594059405,27.28121837270347
Delhi,cereals and tubers,43.537741935483886,27.28121837270347
Dhavanagere,cereals and tubers,42.4068085106383,27.28121837270347
Ramanathapuram,cereals and tubers,41.007183098591554,27.28121837270347
Kurnool,cereals and tubers,40.87576923076924,27.28121837270347
Mysore,cereals and tubers,40.42229357798165,27.28121837270347
Tirupathi,cereals and tubers,39.64473214285715,27.28121837270347
Tirunelveli,cereals and tubers,39.583333333333336,27.28121837270347
Adilabad,cereals and tubers,39.48296296296297,27.28121837270347
Vellore,cereals and tubers,39.244736842105276,27.28121837270347
Maharashtra_Pune,cereals and tubers,39.21092783505154,27.28121837270347
Palakkad,cereals and tubers,38.969067796610176,27.28121837270347
Wayanad,cereals and tubers,38.57773584905661,27.28121837270347
Selamba,cereals and tubers,38.254125,27.28121837270347
Mangalore,cereals and tubers,38.00768000000001,27.28121837270347
Port Blair,cereals and tubers,37.62918421052631,27.28121837270347
Gangtok,cereals and tubers,37.47848837209303,27.28121837270347
Coimbatore,cereals and tubers,37.40037037037036,27.28121837270347
Bellary,cereals and tubers,37.211914893617035,27.28121837270347
Dharmapuri,cereals and tubers,37.114186046511634,27.28121837270347
Kalaburagi,cereals and tubers,37.06673469387756,27.28121837270347
Tumakuru,cereals and tubers,37.05448979591838,27.28121837270347
Mangaon-raigad,cereals and tubers,36.960243902439025,27.28121837270347
North-East Zone,cereals and tubers,36.77045454545454,27.28121837270347
T.Puram,cereals and tubers,36.40703703703704,27.28121837270347
Imphal,cereals and tubers,36.33415384615385,27.28121837270347
Dantewada,cereals and tubers,36.22936708860758,27.28121837270347
Vijayapur,cereals and tubers,35.99598039215686,27.28121837270347
Shivamogga,cereals and tubers,35.73020408163264,27.28121837270347
Kozhikode,cereals and tubers,35.69007843137254,27.28121837270347
Belagavi,cereals and tubers,35.49911764705881,27.28121837270347
Ajmer,cereals and tubers,35.46107692307692,27.28121837270347
Bengaluru (east range),cereals and tubers,35.4158762886598,27.28121837270347
Kohima,cereals and tubers,35.40709677419355,27.28121837270347
Bikaner,cereals and tubers,34.8436170212766,27.28121837270347
Karimnagar,cereals and tubers,34.78304347826087,27.28121837270347
Warangal,cereals and tubers,34.450101010101015,27.28121837270347
Tura,cereals and tubers,33.677592592592596,27.28121837270347
Visakhapatnam,cereals and tubers,33.66184210526316,27.28121837270347
Ernakulam,cereals and tubers,33.43887434554975,27.28121837270347
Nashik,cereals and tubers,33.34560747663551,27.28121837270347
Jadcherla,cereals and tubers,33.31434426229508,27.28121837270347
West Zone,cereals and tubers,33.02818181818182,27.28121837270347
Thiruchirapalli,cereals and tubers,32.88419023136248,27.28121837270347
Suryapet,cereals and tubers,32.83356521739131,27.28121837270347
Panaji,cereals and tubers,32.79130919220057,27.28121837270347
Dindigul,cereals and tubers,32.6467220902613,27.28121837270347
Dharwad,cereals and tubers,32.54088477366254,27.28121837270347
East Zone,cereals and tubers,31.53285714285714,27.28121837270347
Saharanpur,cereals and tubers,31.47810810810811,27.28121837270347
Puducherry,cereals and tubers,30.87262331838563,27.28121837270347
Balangir,cereals and tubers,30.774782608695656,27.28121837270347
Rampurhat,cereals and tubers,30.56127906976746,27.28121837270347
Vapi,cereals and tubers,30.283108108108106,27.28121837270347
Jamshedpur,cereals and tubers,30.178571428571434,27.28121837270347
Kharagpur,cereals and tubers,30.005315315315308,27.28121837270347
Vijaywada,cereals and tubers,29.851600928074262,27.28121837270347
Bilaspur,cereals and tubers,29.49093457943925,27.28121837270347
North Zone,cereals and tubers,29.44818181818182,27.28121837270347
Rewa,cereals and tubers,29.310250000000003,27.28121837270347
Bhuj,cereals and tubers,29.088888888888878,27.28121837270347
Jowai,cereals and tubers,28.96262295081967,27.28121837270347
Ujjain,cereals and tubers,28.840467289719626,27.28121837270347
Bodeli,cereals and tubers,28.80623529411765,27.28121837270347
Jagdalpur,cereals and tubers,28.80542635658915,27.28121837270347
Saharsa,cereals and tubers,28.79076923076922,27.28121837270347
Berhampur,cereals and tubers,28.776581196581194,27.28121837270347
Gumla,cereals and tubers,28.73022988505747,27.28121837270347
Nawada,cereals and tubers,28.573835616438355,27.28121837270347
Aizawl,cereals and tubers,28.43846153846154,27.28121837270347
Katihar,cereals and tubers,28.25432098765432,27.28121837270347
Dhanbad,cereals and tubers,28.25348837209302,27.28121837270347
Jhabua,cereals and tubers,28.192747252747246,27.28121837270347
Solan,cereals and tubers,28.09524390243903,27.28121837270347
Jeypore,cereals and tubers,28.00767441860466,27.28121837270347
Haldwani,cereals and tubers,27.97550847457628,27.28121837270347
Surat,cereals and tubers,27.936395348837205,27.28121837270347
Araria,cereals and tubers,27.904303797468362,27.28121837270347
Bilaspur-hp,cereals and tubers,27.785405405405402,27.28121837270347
Durg,cereals and tubers,27.707926829268295,27.28121837270347
Allahabad,cereals and tubers,27.689669421487594,27.28121837270347
Una,cereals and tubers,27.5161111111111,27.28121837270347
Nagpur,cereals and tubers,27.460829268292667,27.28121837270347
Waghai,cereals and tubers,27.454400000000007,27.28121837270347
Meerut,cereals and tubers,27.343859649122795,27.28121837270347
Khagaria,cereals and tubers,27.29835443037975,27.28121837270347
Balasore,cereals and tubers,27.286039603960393,27.28121837270347
Bareilly,cereals and tubers,27.226052631578938,27.28121837270347
Udaipur,cereals and tubers,26.98238532110092,27.28121837270347
Hoshangabad,cereals and tubers,26.91967391304348,27.28121837270347
Rourkela,cereals and tubers,26.696352941176475,27.28121837270347
Moradabad,cereals and tubers,26.648961038961037,27.28121837270347
Baripada,cereals and tubers,26.589000000000002,27.28121837270347
Haridwar,cereals and tubers,26.48780701754387,27.28121837270347
Mirzapur (vindhyanchal),cereals and tubers,26.475256410256407,27.28121837270347
Saran,cereals and tubers,26.252941176470582,27.28121837270347
a.market,a.category,market_avg_price,b.overall_avg_price
Simdega,cereals and tubers,26.162473118279568,27.28121837270347
Sagar,cereals and tubers,26.104807692307705,27.28121837270347
Bihar_Gaya,cereals and tubers,26.040978260869554,27.28121837270347
Dimapur,cereals and tubers,25.991705882352942,27.28121837270347
Shahdol,cereals and tubers,25.880816326530606,27.28121837270347
Bokaro,cereals and tubers,25.78241379310345,27.28121837270347
Ayodhya,cereals and tubers,25.777076923076926,27.28121837270347
Madhubani,cereals and tubers,25.586875,27.28121837270347
Aligarh,cereals and tubers,25.53630769230769,27.28121837270347
Morena,cereals and tubers,25.489125000000005,27.28121837270347
Purnia,cereals and tubers,25.481826086956513,27.28121837270347
Raiganj,cereals and tubers,25.460348837209303,27.28121837270347
Gurgaon,cereals and tubers,25.38873754152824,27.28121837270347
Bharatpur,cereals and tubers,25.33741573033708,27.28121837270347
Samastipur,cereals and tubers,25.297411764705885,27.28121837270347
Chamba,cereals and tubers,25.253088235294122,27.28121837270347
Jodhpur,cereals and tubers,25.215099999999993,27.28121837270347
Munger,cereals and tubers,25.204814814814814,27.28121837270347
Ranchi,cereals and tubers,25.06272727272727,27.28121837270347
Motihari,cereals and tubers,25.004878048780494,27.28121837270347
Malda,cereals and tubers,24.998437499999998,27.28121837270347
Rudrapur,cereals and tubers,24.89599999999999,27.28121837270347
Panchkula,cereals and tubers,24.82731707317072,27.28121837270347
Dharamshala,cereals and tubers,24.693582089552244,27.28121837270347
Darbhanga,cereals and tubers,24.579157894736845,27.28121837270347
Jhansi,cereals and tubers,24.518106060606065,27.28121837270347
Lohardaga,cereals and tubers,24.489263157894733,27.28121837270347
Gwalior,cereals and tubers,24.48197916666666,27.28121837270347
Muzzafarpur,cereals and tubers,24.426363636363643,27.28121837270347
Siliguri,cereals and tubers,24.27,27.28121837270347
Sahibganj,cereals and tubers,24.25642857142857,27.28121837270347
Raipur,cereals and tubers,24.246793893129762,27.28121837270347
Mandi,cereals and tubers,24.104890510948884,27.28121837270347
Bengaluru,cereals and tubers,24.049871086556177,27.28121837270347
Cuttack,cereals and tubers,23.940109409190363,27.28121837270347
Jabalpur,cereals and tubers,23.850119521912347,27.28121837270347
Ambikapur,cereals and tubers,23.72211382113821,27.28121837270347
Kota,cereals and tubers,23.428636363636357,27.28121837270347
Sambalpur,cereals and tubers,23.414567901234573,27.28121837270347
Rajkot,cereals and tubers,23.29270022883298,27.28121837270347
Gorakhpur,cereals and tubers,23.165789473684207,27.28121837270347
Chandigarh,cereals and tubers,23.06482328482328,27.28121837270347
Ludhiana,cereals and tubers,22.835198237885475,27.28121837270347
Rohtas (sasaram),cereals and tubers,22.784444444444443,27.28121837270347
Indore,cereals and tubers,22.744521276595755,27.28121837270347
Purulia,cereals and tubers,22.717619047619046,27.28121837270347
Shimla,cereals and tubers,22.67863354037267,27.28121837270347
Amritsar,cereals and tubers,22.147788461538457,27.28121837270347
Chennai,cereals and tubers,21.994107317073144,27.28121837270347
Karnal,cereals and tubers,21.56212765957447,27.28121837270347
Dehradun,cereals and tubers,21.50600000000001,27.28121837270347
Hisar,cereals and tubers,21.49825242718447,27.28121837270347
Agartala,cereals and tubers,21.49363825363825,27.28121837270347
Bathinda,cereals and tubers,21.465111607142834,27.28121837270347
Mumbai,cereals and tubers,21.15354903943378,27.28121837270347
Varanasi,cereals and tubers,21.130464135021093,27.28121837270347
Bhagalpur,cereals and tubers,21.030601851851863,27.28121837270347
Hyderabad,cereals and tubers,20.98489421720735,27.28121837270347
Shillong,cereals and tubers,20.09372093023255,27.28121837270347
Guwahati,cereals and tubers,20.078104906937387,27.28121837270347
Agra,cereals and tubers,19.924216101694906,27.28121837270347
Kanpur,cereals and tubers,19.4788025210084,27.28121837270347
Tiruvanantapuram,cereals and tubers,18.789526184538644,27.28121837270347
Kolkata,cereals and tubers,18.408392857142854,27.28121837270347
Bhubaneshwar,cereals and tubers,18.03687757909216,27.28121837270347
Ahmedabad,cereals and tubers,17.578205128205113,27.28121837270347
Jaipur,cereals and tubers,17.545263908701866,27.28121837270347
Bhopal,cereals and tubers,16.491962025316436,27.28121837270347
Lucknow,cereals and tubers,16.208079877112137,27.28121837270347
North-East Zone,milk and dairy,71.23666666666666,44.994641281634586
Shahdol,milk and dairy,68.99249999999999,44.994641281634586
Aizawl,milk and dairy,68.13900000000001,44.994641281634586
Dantewada,milk and dairy,67.43434782608696,44.994641281634586
Tura,milk and dairy,66.79296296296296,44.994641281634586
Jowai,milk and dairy,66.71588235294118,44.994641281634586
Mayabunder,milk and dairy,66.3029411764706,44.994641281634586
Adilabad,milk and dairy,64.81481481481481,44.994641281634586
Jagdalpur,milk and dairy,63.48407407407407,44.994641281634586
Shillong,milk and dairy,62.85897435897437,44.994641281634586
Dimapur,milk and dairy,62.02376470588236,44.994641281634586
North Zone,milk and dairy,60.25666666666667,44.994641281634586
Saharanpur,milk and dairy,59.943200000000004,44.994641281634586
Gangtok,milk and dairy,59.55882352941177,44.994641281634586
Bareilly,milk and dairy,59.04777777777777,44.994641281634586
Haridwar,milk and dairy,58.97961538461538,44.994641281634586
Suryapet,milk and dairy,58.716249999999995,44.994641281634586
Mangaon-raigad,milk and dairy,58.32521739130435,44.994641281634586
Meerut,milk and dairy,58.14441176470587,44.994641281634586
Moradabad,milk and dairy,58.10629629629629,44.994641281634586
Bharatpur,milk and dairy,58.0,44.994641281634586
Selamba,milk and dairy,57.393636363636354,44.994641281634586
Port Blair,milk and dairy,57.21409836065573,44.994641281634586
Jadcherla,milk and dairy,57.063103448275854,44.994641281634586
West Zone,milk and dairy,57.03666666666667,44.994641281634586
Aligarh,milk and dairy,56.888888888888886,44.994641281634586
Bodeli,milk and dairy,56.71608695652174,44.994641281634586
Rohtas (sasaram),milk and dairy,56.338095238095235,44.994641281634586
