market,veg_fruit_price,cereal_tuber_price
Kohima,64.48636363636363,35.40709677419355
Aizawl,58.417396449704135,28.43846153846154
Mayabunder,58.02531914893619,49.1423157894737
North-East Zone,56.64,36.77045454545454
Imphal,53.93150000000001,36.33415384615385
Tura,49.233061224489795,33.677592592592596
Port Blair,48.67621359223301,37.62918421052631
North Zone,45.054545454545455,29.44818181818182
East Zone,44.975,31.53285714285714
Gangtok,43.652549019607854,37.47848837209303
Jamshedpur,41.79409090909092,30.178571428571434
Jowai,40.976212121212136,28.96262295081967
West Zone,39.751666666666665,33.02818181818182
Dimapur,39.68563451776651,25.991705882352942
Suryapet,38.17545454545455,32.83356521739131
Shillong,38.12506097560974,20.09372093023255
Dharamshala,37.85422222222222,24.693582089552244
Raiganj,37.414423076923086,25.460348837209303
Thrissur,37.080192307692315,44.699907407407416
Agartala,36.83878504672898,21.49363825363825
South Zone,36.606363636363646,45.298260869565226
Ramanathapuram,36.4565306122449,41.007183098591554
Mangaon-raigad,35.889767441860464,36.960243902439025
Sahibganj,35.837619047619036,24.25642857142857
Malda,35.507254901960785,24.998437499999998
Guwahati,35.401388888888896,20.078104906937387
Wayanad,35.224888888888884,38.57773584905661
Tiruvanantapuram,35.1824193548387,18.789526184538644
Purulia,34.857391304347836,22.717619047619046
Haldwani,34.75887096774194,27.97550847457628
Gorakhpur,34.559622641509435,23.165789473684207
Allahabad,34.15063492063492,27.689669421487594
Warangal,34.06282608695653,34.450101010101015
Bikaner,33.69960000000001,34.8436170212766
Darbhanga,33.6665306122449,24.579157894736845
T.Puram,33.66082089552238,36.40703703703704
Balasore,33.621551724137944,27.286039603960393
Kharagpur,33.59275862068966,30.005315315315308
Gumla,33.58441176470588,28.73022988505747
Saharsa,33.52680851063829,28.79076923076922
Haridwar,33.48571428571429,26.48780701754387
Baripada,33.480624999999996,26.589000000000002
Siliguri,33.31627659574467,24.27
Ernakulam,33.30257575757577,33.43887434554975
Dantewada,33.19790697674418,36.22936708860758
Solan,32.98714285714287,28.09524390243903
Bokaro,32.9448717948718,25.78241379310345
Jeypore,32.62423728813561,28.00767441860466
Dhanbad,32.354615384615386,28.25348837209302
Surat,32.343999999999994,27.936395348837205
Palakkad,32.29086956521739,38.969067796610176
Panaji,31.753025641025648,32.79130919220057
Araria,31.746000000000002,27.904303797468362
Berhampur,31.62954545454545,28.776581196581194
Kolkata,31.548120805369134,18.408392857142854
Rampurhat,31.480377358490568,30.56127906976746
Cuddalore,31.417777777777772,43.995940594059405
Bodeli,31.417692307692306,28.80623529411765
Visakhapatnam,31.344523809523803,33.66184210526316
Chamba,31.330256410256414,25.253088235294122
Bhuj,31.148490566037736,29.088888888888878
Adilabad,31.07450000000001,39.48296296296297
Una,31.01589743589744,27.5161111111111
Rudrapur,30.98239130434783,24.89599999999999
Balangir,30.965405405405406,30.774782608695656
Saharanpur,30.96162790697675,31.47810810810811
Shivamogga,30.937575757575758,35.73020408163264
Hoshangabad,30.836785714285718,26.91967391304348
Ayodhya,30.83645833333334,25.777076923076926
Mangalore,30.617413793103452,38.00768000000001
Amritsar,30.53215789473684,22.147788461538457
Shimla,30.4653488372093,22.67863354037267
Tumakuru,30.454893617021288,37.05448979591838
Udaipur,30.4172340425532,26.98238532110092
Ludhiana,30.260801886792454,22.835198237885475
Gurgaon,30.181527777777774,25.38873754152824
Dehradun,30.16636718750001,21.50600000000001
Vapi,30.165641025641037,30.283108108108106
Muzzafarpur,30.163,24.426363636363643
Mirzapur (vindhyanchal),30.14088888888888,26.475256410256407
Katihar,30.06918918918918,28.25432098765432
Aligarh,29.880571428571432,25.53630769230769
Ahmedabad,29.863841059602652,17.578205128205113
Munger,29.73148936170212,25.204814814814814
Jhabua,29.648095238095237,28.192747252747246
Purnia,29.580980392156864,25.481826086956513
Kanpur,29.54187817258884,19.4788025210084
Samastipur,29.442749999999997,25.297411764705885
Meerut,29.418363636363633,27.343859649122795
Madhubani,29.390851063829786,25.586875
Lucknow,29.383787878787892,16.208079877112137
Bilaspur-hp,29.13736842105263,27.785405405405402
Chandigarh,29.093452914798224,23.06482328482328
Khagaria,29.033409090909085,27.29835443037975
Panchkula,29.009411764705888,24.82731707317072
Saran,28.998461538461548,26.252941176470582
Mandi,28.9980319148936,24.104890510948884
Belagavi,28.978333333333335,35.49911764705881
Bilaspur,28.976363636363637,29.49093457943925
Jagdalpur,28.895892857142854,28.80542635658915
market,veg_fruit_price,cereal_tuber_price
Bellary,28.89076923076923,37.211914893617035
Tirunelveli,28.684857142857144,39.583333333333336
Nashik,28.61927272727272,33.34560747663551
Varanasi,28.569132231404968,21.130464135021093
Nawada,28.453023255813942,28.573835616438355
Selamba,28.39162162162162,38.254125
Bhagalpur,28.365396039603954,21.030601851851863
Bharatpur,28.31575,25.33741573033708
Vellore,28.249387755102045,39.244736842105276
Rohtas (sasaram),28.24395833333334,22.784444444444443
Mysore,28.229230769230767,40.42229357798165
Bareilly,28.124054054054053,27.226052631578938
Karnal,28.110423280423294,21.56212765957447
Rewa,27.996734693877563,29.310250000000003
Bathinda,27.945561224489783,21.465111607142834
Karimnagar,27.940294117647063,34.78304347826087
Hisar,27.857999999999993,21.49825242718447
Motihari,27.623617021276598,25.004878048780494
Tirupathi,27.49052631578947,39.64473214285715
Kozhikode,27.448017241379304,35.69007843137254
Moradabad,27.44076923076923,26.648961038961037
Dhavanagere,27.436875,42.4068085106383
Ujjain,27.27205882352941,28.840467289719626
Simdega,27.2154054054054,26.162473118279568
Bhubaneshwar,27.209324324324314,18.03687757909216
Dharmapuri,26.83672727272727,37.114186046511634
Cuttack,26.80785156249999,23.940109409190363
Agra,26.670201005025135,19.924216101694906
Ajmer,26.641590909090905,35.46107692307692
Rourkela,26.57726495726495,26.696352941176475
Coimbatore,26.558823529411768,37.40037037037036
Maharashtra_Pune,26.551153846153845,39.21092783505154
Kurnool,26.538888888888888,40.87576923076924
Nagpur,26.26594444444445,27.460829268292667
Ranchi,26.118611111111107,25.06272727272727
Durg,26.10830188679245,27.707926829268295
Waghai,25.973214285714285,27.454400000000007
Bengaluru,25.925824175824182,24.049871086556177
Ambikapur,25.909333333333333,23.72211382113821
Sambalpur,25.88161458333334,23.414567901234573
Jhansi,25.652539682539683,24.518106060606065
Thiruchirapalli,25.645639810426527,32.88419023136248
Morena,25.61833333333333,25.489125000000005
Lohardaga,25.532619047619043,24.489263157894733
Kota,25.42007042253522,23.428636363636357
Bihar_Gaya,25.380555555555556,26.040978260869554
Delhi,25.373341584158403,43.537741935483886
Jadcherla,25.224833333333333,33.31434426229508
Rajkot,25.14809523809524,23.29270022883298
Bengaluru (east range),25.060810810810818,35.4158762886598
Dindigul,24.983473684210523,32.6467220902613
Kalaburagi,24.73780487804878,37.06673469387756
Jaipur,24.64490384615386,17.545263908701866
Raipur,24.609702970297025,24.246793893129762
Jabalpur,24.58824,23.850119521912347
Jodhpur,24.440718232044215,25.215099999999993
Vijayapur,24.090312499999996,35.99598039215686
Dharwad,23.7669540229885,32.54088477366254
Indore,23.7217741935484,22.744521276595755
Mumbai,23.4906862745098,21.15354903943378
Hyderabad,23.386649214659684,20.98489421720735
Vijaywada,23.110837004405276,29.851600928074262
Puducherry,22.82966824644549,30.87262331838563
Sagar,21.974999999999998,26.104807692307705
Gwalior,21.926453900709216,24.48197916666666
Shahdol,21.856250000000003,25.880816326530606
Bhopal,21.74827027027026,16.491962025316436
Chennai,20.004483695652162,21.994107317073144
Patna,19.11858333333334,78.85346652267819
